centreline_id,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct
3369787,13013.3,13013.3,,1307.0,766.0,,,,
3369829,40245.0,40245.0,,2917.0,2876.0,,,,
3386535,167.0,167.0,,15.0,20.0,27.0,37.5,41.4,
3386795,6287.0,6287.0,,297.0,656.0,,,,
3386806,670.0,670.0,,80.0,73.0,37.4,46.0,49.9,
3440718,28295.3,28295.3,,1826.0,1680.0,41.5,55.0,64.4,
3440737,20678.0,20678.0,,1665.0,1393.0,,,,
3440739,1688.3,1688.3,,102.0,154.0,35.1,44.9,51.2,
3440791,1448.3,1448.3,,89.0,137.0,38.2,47.1,52.3,
3461579,22174.7,22174.7,,1130.0,2328.0,,,,
3484509,19575.7,19575.7,,971.0,2222.0,,,,
3484534,42619.3,43942.9,40413.3,3017.0,3162.0,,,,
3497164,25311.0,25311.0,,1528.0,1619.0,53.6,63.6,69.2,
3497264,40687.0,40687.0,,2833.0,3374.0,,,,
3497265,18274.0,18274.0,,1923.0,1121.0,,,,
3497322,33347.3,33347.3,,2121.0,2153.0,,,,
3497808,16218.7,16218.7,,1008.0,1372.0,,,,
3503080,8274.7,8274.7,,781.0,590.0,,,,
3521896,343.0,343.0,,32.0,28.0,21.1,28.3,32.4,
