centreline_id,segment_length,crash_count,avg_daily_vol,avg_weekday_daily_vol,avg_weekend_daily_vol,avg_wkdy_am_peak_vol,avg_wkdy_pm_peak_vol,avg_speed,avg_85th_percentile_speed,avg_95th_percentile_speed,avg_heavy_pct,log_volume,crash_rate,exposure,log_exposure
60030123,210.36133605717836,0,19768.3,19768.3,,1147.0,1073.0,38.6,52.1,59.8,,9.891834923595379,0.0,4158485.999579119,15.240661623585469
60030202,90.48389054658844,0,15505.3,15505.3,,878.0,1444.0,,,,,9.648937179944594,0.0,1402979.8680920177,14.15410900979563
443974,20.56518760670301,0,14076.7,14076.7,,1216.0,1162.0,47.1,57.0,62.2,,9.55227622724192,0.0,289489.9763832763,12.575875951503802
11466300,198.3957384873107,0,2496.0,2496.0,,172.0,278.0,,,,,7.822444729489319,0.0,495195.7632643275,13.11270844471077
60030523,103.0830870816843,0,23587.7,23587.7,,1407.0,1422.0,,,,,10.068480668708162,0.0,2431492.933156645,14.704016002449821
60030508,265.09625350793135,0,4552.7,4552.7,,547.0,384.0,,,,,8.423475742542331,0.0,1206903.713345559,14.0035687233645
14659522,203.111695730156,0,14866.0,14866.0,,1147.0,1229.0,44.8,53.9,59.2,,9.60683200528524,0.0,3019458.468724499,14.920588058280309
20041175,79.87163332511189,0,9587.3,9587.3,,1327.0,1121.0,,,,,9.168194584962492,0.0,765753.3101778452,13.54861534747751
440198,90.03074930296906,0,32887.7,34403.8,29097.5,2427.0,2442.0,,,,,10.40085400666795,0.0,2960904.273851255,14.901005277567975
60030538,114.97820380613815,0,185.0,185.0,,19.0,25.0,20.7,29.1,34.5,,5.220355825078324,0.0,21270.967704135557,9.965098403357555
5200664,218.78278807721185,0,322.0,322.0,,13.0,21.0,33.6,44.1,48.7,,5.7745515455444085,0.0,70448.05776086221,11.162630947902963
14185299,113.37135275095956,0,6166.0,6166.0,,496.0,462.0,36.0,44.1,49.1,,8.726805608446096,0.0,699047.7610624166,13.457474346581883
20042519,54.15540433821301,0,2384.0,2384.0,,193.0,170.0,,,,,7.776535028185241,0.0,129106.48394229982,11.768392799758669
60030555,203.05115806409077,0,24515.3,24515.3,,1324.0,1723.0,,,,,10.107052691416127,0.0,4977860.055288604,15.42051064887662
60030570,50.0478682440253,0,24573.7,24573.7,,1724.0,1979.0,,,,,10.109432044328257,0.0,1229861.2998682046,14.022411956655432
443537,357.3197366924596,0,1004.0,1004.0,,91.0,98.0,38.4,48.8,54.0,,6.911747300251674,0.0,358749.01563922944,12.790378302189428
443595,174.76990446216294,0,1154.0,1154.0,,117.0,110.0,35.7,46.1,51.5,,7.050989447068045,0.0,201684.46974933604,12.214459724197216
